Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,02/14,Northern Illinois - Cal Poly Dual,125,L,MD,8 - 0,Blake West,73337,24 - 7,Northern Illinois,Koda Holeman,73792
2025,02/07,Oregon State - Cal Poly Dual,125,W,SV-1,3 - 0,Maximo Renteria,71870,15 - 9,Oregon State,Koda Holeman,73792
2025,02/02,Southern Illinois Edwardsville - Cal Poly Dual,125,W,DEC,4 - 2,Drew Davis,84419,13 - 10,SIU Edwardsville,Koda Holeman,73792
2025,01/11,Ohio - Cal Poly Dual,125,W,FALL,0:36,Logan Dean,93528,4 - 9,Ohio,Koda Holeman,73792
2025,01/10,Drexel - Cal Poly Dual,125,L,DEC,9 - 5,Desmond Pleasant,71583,16 - 7,Drexel,Koda Holeman,73792
2025,01/10,Cal Poly - Little Rock Dual,125,W,DEC,12 - 11,Jayden Carson,62838,3 - 13,Little Rock,Koda Holeman,73792
2025,01/10,Cal Poly - George Mason Dual,125,W,DEC,4 - 1,Ben Monn,69708,17 - 13,George Mason,Koda Holeman,73792
2025,12/29,Midlands Championships,125,W,DEC,8 - 4,Logan Brzozowski,85072,11 - 15,Harvard,Koda Holeman,73792
2025,12/29,Midlands Championships,125,L,TF5,20 - 3 7:00,Marc-Anthony McGowan,79468,16 - 4,Princeton,Koda Holeman,73792
2025,12/29,Midlands Championships,125,L,SV-1,4 - 1,Max Gallagher,78893,26 - 10,Pennsylvania,Koda Holeman,73792
2025,12/29,Midlands Championships,125,W,FALL,6:22,Blaine Frazier,78575,13 - 5,Indiana,Koda Holeman,73792
2025,12/19,Northwestern - Cal Poly Dual,125,W,DEC,8 - 6,Dedrick Navarro,84344,18 - 13,Northwestern,Koda Holeman,73792
2025,12/19,Cal Baptist - Cal Poly Dual,125,W,FALL,4:44,Mitchell Neiner,83540,5 - 18,Cal Baptist,Koda Holeman,73792
2025,12/06,Cliff Keen Invitational,125,L,DEC,8 - 5,Adrian Meza,83499,12 - 6,Iowa State,Koda Holeman,73792
2025,12/06,Cliff Keen Invitational,125,L,MD,10 - 2,Vincent Robinson,78062,24 - 3,NC State,Koda Holeman,73792
2025,11/24,Roadrunner Open,125,W,FALL,2:38,Erik Ramirez,92746,Unlisted,Menlo Wrestling Club,Koda Holeman,73792
2025,11/24,Roadrunner Open,125,L,MD,11 - 2,Beric Jordan,84763,12 - 3,Oklahoma,Koda Holeman,73792
2025,11/24,Roadrunner Open,125,W,DEC,7 - 1,Gage Singleton,93533,2 - 2,Oregon State,Koda Holeman,73792
2025,11/24,Roadrunner Open,125,W,DEC,8 - 7,Richard Castro-Sandoval,69366,16 - 12,CSU Bakersfield,Koda Holeman,73792
2025,11/09,Tiger Style Invite,125,W,DEC,7 - 2,Drew Davis,84419,13 - 10,SIU Edwardsville,Koda Holeman,73792
2025,11/09,Tiger Style Invite,125,W,DEC,2 - 1,Isaiah Quintero,81600,8 - 6,Purdue,Koda Holeman,73792
2025,11/09,Tiger Style Invite,125,L,TF5,19 - 1 5:09,Matt Ramos,57134,31 - 3,Purdue,Koda Holeman,73792
2025,11/09,Tiger Style Invite,125,W,DEC,4 - 1,Gage Walker,84476,11 - 11,Missouri,Koda Holeman,73792
2025,11/03,Indiana - Cal Poly Dual,125,L,MD,14 - 5,Jacob Moran,63550,26 - 11,Indiana,Koda Holeman,73792
2024,02/09,Arizona State - Cal Poly Dual,133,L,TF5,18 - 2 2:32,Julian Chlebove,56769,19 - 10,Arizona State,Koda Holeman,73792
2024,02/03,Oaks Open,125,W,TF5,23 - 7 7:00,Ethan Guillermo,89963,Unlisted,Menlo,Koda Holeman,73792
2024,02/03,Oaks Open,125,W,FALL,2:16,Caleb O'Hara,72093,Unlisted,Menlo Wrestling Club,Koda Holeman,73792
2024,02/03,Oaks Open,125,L,DQ,0 - 0,Nic Aguilar,51104,Unlisted,Menlo,Koda Holeman,73792
2024,02/03,Oaks Open,125,W,MD,15 - 4,Hayden Ancheta,84902,Unlisted,San Francisco State,Koda Holeman,73792
2024,12/29,Midlands Championships,125,L,MD,11 - 2,Dominic Mendez,73704,15 - 12,Cal Poly,Koda Holeman,73792
2024,12/29,Midlands Championships,125,W,DEC,5 - 0,Caden Horwath,78395,2 - 6,Michigan,Koda Holeman,73792
2024,12/29,Midlands Championships,125,L,MD,15 - 6,Tristan Lujan,63015,17 - 17,Michigan State,Koda Holeman,73792
2024,11/19,Roadrunner Open,125,L,FALL,5:00,Caleb Coyle,69462,3 - 3,Oregon State,Koda Holeman,73792
2024,11/19,Roadrunner Open,125,L,DEC,11 - 4,Richard Castro-Sandoval,69366,10 - 14,CSU Bakersfield,Koda Holeman,73792
2024,11/19,Roadrunner Open,125,W,TF5,23 - 6 7:00,Hayden Ancheta,84902,Unlisted,San Francisco State,Koda Holeman,73792
2024,11/19,Roadrunner Open,125,W,MD,20 - 11,Hayden Ancheta,84902,Unlisted,San Francisco State,Koda Holeman,73792
2024,11/11,Tiger Style Invite,125,W,MD,14 - 4,Preston Spray,78653,2 - 5,Missouri,Koda Holeman,73792
2024,11/11,Tiger Style Invite,125,W,DEC,4 - 0,Reid Nelson,72129,5 - 9,Little Rock,Koda Holeman,73792
2024,11/11,Tiger Style Invite,125,W,MFOR,0 - 0,Braxton Brown,72103,20 - 12,Maryland,Koda Holeman,73792
2024,11/11,Tiger Style Invite,125,L,TF5,23 - 8 7:00,Jeremiah Reno,62342,14 - 11,Little Rock,Koda Holeman,73792
2024,11/11,Tiger Style Invite,125,L,FALL,2:01,Noah Surtin,56715,15 - 6,Missouri,Koda Holeman,73792
2024,11/04,Menlo Open,125,W,FALL,0:56,Isaac Weaver,85812,Unlisted,College of the Redwoods,Koda Holeman,73792
2024,11/04,Menlo Open,125,W,TF5,17 - 2 7:00,Juan Diaz,85802,Unlisted,Unattached,Koda Holeman,73792
2024,11/04,Menlo Open,125,W,FALL,0:32,Allen Calderon,85800,Unlisted,Indiana Tech,Koda Holeman,73792
2024,11/04,Menlo Open,125,L,MD,18 - 5,Maximo Renteria,71870,4 - 0,Oregon State,Koda Holeman,73792
2023,02/19,Oregon State - Cal Poly Dual,125,L,DEC,11 - 4,Brandon Kaylor,51198,18 - 9,Oregon State,Koda Holeman,73792
2023,02/17,Stanford - Cal Poly Dual,125,L,DEC,9 - 2,Nico Provo,65883,18 - 11,Stanford,Koda Holeman,73792
2023,02/05,Little Rock - Cal Poly Dual,125,L,MD,14 - 6,Jeremiah Reno,62342,15 - 10,Little Rock,Koda Holeman,73792
2023,02/03,Cal Poly - CSU Bakersfield Dual,125,L,DEC,5 - 3,Eddie Flores,51127,6 - 13,CSU Bakersfield,Koda Holeman,73792
2025,11/02,Menlo Invitational,125,W,FALL,0:56,Cristian Cruz,94085,Unlisted,Skyline College,Ezequiel Vela,94098
2025,11/02,Menlo Invitational,125,L,DEC,3 - 0,Will VomBaur,57735,2 - 0,Utah Valley,Ezequiel Vela,94098
2025,11/02,Menlo Invitational,125,L,MD,12 - 3,Zachary Wright,70221,Unlisted,San Francisco State,Ezequiel Vela,94098
2025,02/01,Oaks Invitational,125,W,FALL,3:52,Julian Sanchez,96838,Unlisted,Menlo Wrestling Club,Eziequel Vela,93037
2025,02/01,Oaks Invitational,125,L,TF5,15 - 0 7:00,Isaiah Miller,86473,Unlisted,Cal Poly Humboldt,Eziequel Vela,93037
2025,02/01,Oaks Invitational,125,L,DEC,11 - 7,Ethan Guillermo,89963,Unlisted,Menlo,Eziequel Vela,93037
2025,02/01,Oaks Invitational,125,W,FALL,4:13,Marques Calapiz,70322,Unlisted,Simon Fraser,Eziequel Vela,93037
2025,11/24,Roadrunner Open,125,L,TF5,16 - 1 7:00,Richard Castro-Sandoval,69366,16 - 12,CSU Bakersfield,Eziequel Vela,93037
2025,11/24,Roadrunner Open,125,W,DEC,7 - 1,Elijah Valencia,94097,Unlisted,Menlo,Eziequel Vela,93037
2025,11/24,Roadrunner Open,125,L,INJ,7:00,Julian Albang,99024,Unlisted,Cal Poly Humboldt,Eziequel Vela,93037
2025,03/20,NCAA Championships,133,W,DEC,7 - 3,Zan Fugitt,78091,22 - 9,Wisconsin,Zeth Romney,73191
